mal1g00001,,,
mal1g00002,dz186s21g00477,dz186s8g00566,
mal1g00114,dz186s21g00518,.,dz186s22g00076
mal1g00115,.,.,dz186s22g00077
mal1g00116,.,.,dz186s22g00078
mal1g00117,dz186s21g00519,.,dz186s22g00079
mal1g00118,dz186s21g00520,.,.
mal1g00119,dz186s21g00521,.,.
mal1g00120,.,dz186s8g00624,dz186s22g00080
mal1g00121,.,.,.
mal1g00122,.,.,.
mal1g00123,dz186s21g00522,dz186s8g00625,.
mal1g00124,dz186s21g00523,dz186s8g00626,dz186s22g00082
mal1g00125,.,.,dz186s22g00084
mal1g00126,.,.,dz186s22g00085
mal1g00127,.,.,.
mal1g00128,dz186s21g00524,.,dz186s22g00086
mal1g00129,.,dz186s8g00627,.
mal1g00130,.,.,.
mal1g00131,.,.,.
mal1g00132,dz186s21g00525,.,.
mal1g00133,.,.,.
mal1g00134,dz186s21g00526,.,.
mal1g00135,.,.,dz186s22g00087
mal1g00136,dz186s21g00527,.,dz186s22g00088
mal1g00137,.,.,dz186s22g00089
mal1g00138,dz186s21g00528,.,dz186s22g00090
mal1g00139,dz186s21g00529,.,dz186s22g00091
mal1g00140,.,.,dz186s22g00092
mal1g00141,dz186s21g00530,dz186s8g00628,dz186s22g00093
mal1g00142,dz186s21g00531,.,.
mal1g00143,.,.,dz186s22g00094
mal1g00144,.,.,dz186s22g00095
mal1g00145,.,dz186s8g00629,dz186s22g00096
mal1g00146,.,dz186s8g00630,.
mal1g00147,.,dz186s8g00631,dz186s22g00097
mal1g00148,.,dz186s8g00632,.
mal1g00149,.,dz186s8g00633,.
mal1g00150,.,.,dz186s22g00098
mal1g00151,.,.,.
mal1g00152,.,.,.
mal1g00153,.,.,.
mal1g00154,.,.,.
mal1g00155,.,dz186s8g00634,dz186s22g00099
mal1g00156,.,.,dz186s22g00100
mal1g00157,.,.,.
mal1g00158,.,dz186s8g00636,dz186s22g00102
mal1g00159,.,dz186s8g00637,dz186s22g00103
mal1g00160,.,dz186s8g00638,.
mal1g00161,.,.,.
mal1g00162,.,.,.
mal1g00163,.,dz186s8g00639,dz186s22g00104
mal1g00164,.,dz186s8g00640,dz186s22g00106
mal1g00165,.,dz186s8g00641,.
mal1g00166,dz186s21g00532,.,dz186s22g00107
mal1g00167,.,.,dz186s22g00108
mal1g00168,.,.,dz186s22g00109
mal1g00169,.,.,dz186s22g00110
mal1g00170,.,dz186s8g00643,dz186s22g00111
mal1g00171,.,dz186s8g00645,.
mal1g00172,.,.,.
mal1g00173,.,.,dz186s22g00112
mal1g00174,.,.,.
mal1g00175,.,.,.
mal1g00176,.,.,dz186s22g00113
mal1g00177,.,.,.
mal1g00178,.,.,.
mal1g00179,.,.,.
mal1g00180,.,.,.
mal1g00181,dz186s21g00535,.,.
mal1g00182,dz186s21g00536,.,dz186s22g00114
mal1g00183,.,dz186s8g00647,dz186s22g00115
mal1g00184,.,.,dz186s22g00116
mal1g00185,.,.,dz186s22g00117
mal1g00186,.,dz186s8g00649,dz186s22g00120
mal1g00187,.,.,dz186s22g00121
mal1g00188,dz186s21g00537,dz186s8g00650,dz186s22g00123
mal1g00189,.,.,.
mal1g00190,.,dz186s8g00651,dz186s22g00124
mal1g00191,.,dz186s8g00652,dz186s22g00125
mal1g00192,.,.,dz186s22g00126
mal1g00193,.,dz186s8g00653,dz186s22g00127
mal1g00194,.,.,dz186s22g00128
mal1g00195,dz186s21g00538,.,dz186s22g00129
mal1g00196,.,dz186s8g00654,dz186s22g00130
mal1g00197,.,dz186s8g00655,dz186s22g00131
mal1g00198,.,.,dz186s22g00133
mal1g00199,dz186s21g00539,dz186s8g00656,dz186s22g00134
mal1g00200,dz186s21g00540,.,dz186s22g00135
mal1g00201,.,dz186s8g00657,dz186s22g00136
mal1g00202,.,.,.
mal1g00203,.,.,.
mal1g00204,.,.,.
mal1g00205,dz186s21g00541,dz186s8g00663,dz186s22g00137
mal1g00206,.,.,dz186s22g00138
mal1g00207,.,.,dz186s22g00139
mal1g00208,dz186s21g00543,dz186s8g00666,dz186s22g00140
mal1g00209,.,.,dz186s22g00141
mal1g00210,.,dz186s8g00668,.
mal1g00211,.,.,dz186s22g00142
mal1g00212,.,.,dz186s22g00143
mal1g00213,dz186s21g00544,dz186s8g00669,dz186s22g00144
mal1g00214,.,.,.
mal1g00215,.,dz186s8g00671,dz186s22g00145
mal1g00216,.,.,dz186s22g00146
mal1g00217,.,dz186s8g00672,dz186s22g00147
mal1g00218,.,.,.
mal1g00219,.,.,.
mal1g00220,dz186s21g00546,dz186s8g00674,dz186s22g00149
mal1g00221,.,dz186s8g00675,.
mal1g00222,dz186s21g00547,.,dz186s22g00150
mal1g00223,dz186s21g00548,.,dz186s22g00151
mal1g00224,dz186s21g00549,dz186s8g00676,.
mal1g00225,dz186s21g00550,dz186s8g00677,dz186s22g00152
mal1g00226,dz186s21g00551,.,.
mal1g00227,.,.,dz186s22g00153
mal1g00228,dz186s21g00552,.,dz186s22g00154
mal1g00229,dz186s21g00553,.,dz186s22g00155
mal1g00230,.,.,.
mal1g00231,.,.,dz186s22g00156
mal1g00232,dz186s21g00554,.,.
mal1g00233,dz186s21g00555,dz186s8g00678,.
mal1g00234,.,dz186s8g00679,.
mal1g00235,dz186s21g00556,.,dz186s22g00157
mal1g00236,.,.,.
mal1g00237,dz186s21g00557,dz186s8g00680,dz186s22g00158
mal1g00238,dz186s21g00558,.,dz186s22g00159
mal1g00239,.,.,.
mal1g00240,dz186s21g00560,.,dz186s22g00162
mal1g00241,.,.,.
mal1g00242,.,.,.
mal1g00243,.,dz186s8g00681,dz186s22g00163
mal1g00244,.,.,dz186s22g00164
mal1g00245,dz186s21g00561,.,dz186s22g00165
mal1g00246,dz186s21g00562,.,dz186s22g00166
mal1g00247,dz186s21g00563,.,.
mal1g00248,.,.,.
mal1g00249,dz186s21g00564,.,.
mal1g00250,.,.,dz186s22g00167
mal1g00251,.,dz186s8g00682,.
mal1g00252,.,.,dz186s22g00168
mal1g00253,.,.,dz186s22g00169
mal1g00254,.,.,dz186s22g00170
mal1g00255,.,dz186s8g00683,.
mal1g00256,.,dz186s8g00684,.
mal1g00257,dz186s21g00565,.,dz186s22g00171
mal1g00258,.,dz186s8g00685,.
mal1g00259,dz186s21g00566,.,dz186s22g00172
mal1g00260,dz186s21g00568,.,dz186s22g00173
mal1g00261,dz186s21g00569,.,dz186s22g00174
mal1g00262,dz186s21g00570,.,dz186s22g00175
mal1g00263,.,dz186s8g00692,dz186s22g00176
mal1g00264,.,.,dz186s22g00177
mal1g00265,dz186s21g00571,dz186s8g00696,dz186s22g00180
mal1g00266,.,.,.
mal1g00267,.,.,dz186s22g00182
mal1g00268,.,.,dz186s22g00183
mal1g00269,.,.,dz186s22g00184
mal1g00270,dz186s21g00573,.,dz186s22g00185
mal1g00271,.,.,.
mal1g00272,.,.,dz186s22g00186
mal1g00273,.,.,dz186s22g00187
mal1g00274,.,.,.
mal1g00275,.,.,.
mal1g00276,.,dz186s8g00715,dz186s22g00188
mal1g00277,.,.,.
mal1g00278,dz186s21g00578,dz186s8g00716,.
mal1g00279,dz186s21g00579,.,dz186s22g00189
mal1g00280,.,.,dz186s22g00190
mal1g00281,.,.,.
mal1g00282,.,.,.
mal1g00283,.,.,.
mal1g00284,.,.,dz186s22g00192
mal1g00285,dz186s21g00580,.,dz186s22g00193
mal1g00286,.,dz186s8g00717,.
mal1g00287,.,.,.
mal1g00288,.,dz186s8g00718,.
mal1g00289,.,dz186s8g00719,.
mal1g00290,.,dz186s8g00720,.
mal1g00291,dz186s21g00581,.,dz186s22g00194
mal1g00292,dz186s21g00582,dz186s8g00721,dz186s22g00195
mal1g00293,.,dz186s8g00722,.
mal1g00294,.,dz186s8g00723,.
mal1g00295,.,dz186s8g00725,.
mal1g00296,dz186s21g00583,dz186s8g00726,dz186s22g00196
mal1g00297,.,dz186s8g00730,dz186s22g00197
mal1g00298,dz186s21g00584,.,.
mal1g00299,.,.,dz186s22g00198
mal1g00300,.,.,.
mal1g00301,dz186s21g00585,dz186s8g00731,dz186s22g00199
mal1g00302,.,dz186s8g00732,dz186s22g00200
mal1g00303,.,.,.
mal1g00304,.,.,dz186s22g00202
mal1g00305,.,dz186s8g00733,dz186s22g00203
mal1g00306,.,.,.
mal1g00307,.,.,.
mal1g00308,dz186s21g00586,.,dz186s22g00204
mal1g00309,.,dz186s8g00734,dz186s22g00205
mal1g00310,dz186s21g00587,.,dz186s22g00206
mal1g00311,.,.,dz186s22g00207
mal1g00312,.,.,.
mal1g00313,.,.,.
mal1g00314,.,.,.
mal1g00315,.,.,dz186s22g00208
mal1g00316,dz186s21g00588,.,dz186s22g00209
mal1g00317,.,.,.
mal1g00318,.,.,.
mal1g00319,.,.,.
mal1g00320,.,dz186s8g00736,.
mal1g00321,.,dz186s8g00737,.
mal1g00322,.,.,.
mal1g00323,.,dz186s8g00738,.
mal1g00324,.,.,.
mal1g00325,.,.,.
mal1g00326,.,.,.
mal1g00327,.,.,.
mal1g00328,.,.,.
mal1g00329,.,.,dz186s22g00210
mal1g00330,.,.,dz186s22g00211
mal1g00331,.,.,dz186s22g00212
mal1g00332,.,.,.
mal1g00333,.,.,.
mal1g00334,.,.,.
mal1g00335,.,.,dz186s22g00213
mal1g00336,.,.,dz186s22g00214
mal1g00337,dz186s21g00591,dz186s8g00739,dz186s22g00215
mal1g00338,.,dz186s8g00740,.
mal1g00339,.,.,dz186s22g00217
mal1g00340,.,.,dz186s22g00218
mal1g00341,.,.,dz186s22g00219
mal1g00342,.,dz186s8g00741,dz186s22g00220
mal1g00343,dz186s21g00592,.,dz186s22g00221
mal1g00344,.,.,.
mal1g00345,.,.,.
mal1g00346,.,.,.
mal1g00347,.,.,dz186s22g00222
mal1g00348,.,.,dz186s22g00223
mal1g00349,.,dz186s8g00742,.
mal1g00350,.,.,.
mal1g00351,dz186s21g00596,.,.
mal1g00352,dz186s21g00600,.,dz186s22g00224
mal1g00353,dz186s21g00603,dz186s8g00743,.
mal1g00354,dz186s21g00604,.,dz186s22g00225
mal1g00355,.,.,dz186s22g00226
mal1g00356,.,dz186s8g00745,.
mal1g00357,.,.,dz186s22g00227
mal1g00358,dz186s21g00605,.,dz186s22g00228
mal1g00359,.,.,dz186s22g00229
mal1g00360,dz186s21g00606,.,dz186s22g00230
mal1g00361,.,dz186s8g00747,dz186s22g00232
mal1g00362,dz186s21g00608,dz186s8g00748,dz186s22g00233
mal1g00363,dz186s21g00609,dz186s8g00749,dz186s22g00234
mal1g00364,.,.,.
mal1g00365,.,.,dz186s22g00236
mal1g00366,.,.,dz186s22g00237
mal1g00367,.,.,.
mal1g00368,.,.,.
mal1g00369,.,.,.
mal1g00370,.,.,.
mal1g00371,dz186s21g00613,.,dz186s22g00239
mal1g00372,.,.,.
mal1g00373,dz186s21g00614,.,dz186s22g00240
mal1g00374,.,.,.
mal1g00375,.,dz186s8g00750,dz186s22g00241
mal1g00376,.,.,dz186s22g00242
mal1g00377,.,.,dz186s22g00244
mal1g00378,.,.,.
mal1g00379,.,.,dz186s22g00245
mal1g00380,dz186s21g00615,.,.
mal1g00381,.,.,.
mal1g00382,.,.,.
mal1g00383,.,.,.
mal1g00384,.,.,.
mal1g00385,.,.,dz186s22g00246
mal1g00386,.,.,.
mal1g00387,.,.,.
mal1g00388,.,.,.
mal1g00389,.,.,.
mal1g00390,.,.,.
mal1g00391,.,.,.
mal1g00392,.,.,.
mal1g00393,dz186s21g00616,dz186s8g00751,dz186s22g00247
mal1g00394,.,dz186s8g00752,dz186s22g00248
mal1g00395,dz186s21g00617,dz186s8g00753,dz186s22g00249
mal1g00396,.,dz186s8g00754,dz186s22g00250
mal1g00397,dz186s21g00618,.,.
mal1g00398,dz186s21g00619,dz186s8g00755,dz186s22g00251
mal1g00399,.,dz186s8g00756,.
mal1g00400,.,.,.
mal1g00401,.,.,.
mal1g00402,.,.,.
mal1g00403,dz186s21g00620,.,.
mal1g00404,.,dz186s8g00757,.
mal1g00405,.,.,.
mal1g00406,.,.,.
mal1g00407,.,.,.
mal1g00408,.,.,.
mal1g00409,.,.,.
mal1g00410,dz186s21g00621,.,dz186s22g00252
mal1g00411,dz186s21g00622,.,dz186s22g00253
mal1g00412,.,dz186s8g00759,.
mal1g00413,.,.,dz186s22g00255
mal1g00414,dz186s21g00623,.,dz186s22g00256
mal1g00415,.,dz186s8g00760,dz186s22g00257
mal1g00416,.,.,.
mal1g00417,.,dz186s8g00761,.
mal1g00418,.,.,dz186s22g00259
mal1g00419,.,.,.
mal1g00420,.,.,.
mal1g00421,.,.,.
mal1g00422,.,.,.
mal1g00423,.,.,.
mal1g00424,.,.,.
mal1g00425,dz186s21g00624,.,dz186s22g00260
mal1g00426,.,.,.
mal1g00427,.,.,.
mal1g00428,.,dz186s8g00762,dz186s22g00261
mal1g00429,dz186s21g00625,dz186s8g00764,dz186s22g00262
mal1g00430,.,.,dz186s22g00263
mal1g00431,dz186s21g00626,dz186s8g00765,dz186s22g00264
mal1g00432,dz186s21g00627,.,dz186s22g00265
mal1g00433,.,dz186s8g00766,dz186s22g00266
mal1g00434,dz186s21g00628,.,dz186s22g00267
mal1g00435,.,dz186s8g00767,dz186s22g00268
mal1g00436,dz186s21g00629,dz186s8g00768,dz186s22g00269
mal1g00437,dz186s21g00630,dz186s8g00769,dz186s22g00270
mal1g00438,.,dz186s8g00770,.
mal1g00439,dz186s21g00631,.,dz186s22g00271
mal1g00440,dz186s21g00632,.,.
mal1g00441,.,.,dz186s22g00272
mal1g00442,dz186s21g00633,dz186s8g00772,dz186s22g00273
mal1g00443,dz186s21g00634,.,dz186s22g00274
mal1g00444,dz186s21g00653,.,.
mal1g00445,dz186s21g00635,dz186s8g00775,dz186s22g00275
mal1g00446,.,dz186s8g00776,dz186s22g00276
mal1g00447,.,dz186s8g00777,dz186s22g00277
mal1g00448,.,dz186s8g00778,dz186s22g00278
mal1g00449,dz186s21g00650,dz186s8g00788,dz186s22g00301
mal1g00450,.,.,.
mal1g00451,.,.,dz186s22g00300
mal1g00452,dz186s21g00644,dz186s8g00786,dz186s22g00299
mal1g00453,dz186s21g00643,dz186s8g00785,dz186s22g00294
mal1g00454,.,dz186s8g00784,dz186s22g00293
mal1g00455,dz186s21g00642,dz186s8g00783,.
mal1g00456,dz186s21g00641,dz186s8g00782,dz186s22g00292
mal1g00457,dz186s21g00640,.,dz186s22g00291
mal1g00458,.,.,dz186s22g00290
mal1g00459,dz186s21g00639,.,dz186s22g00289
mal1g00460,dz186s21g00638,.,dz186s22g00288
mal1g00461,.,dz186s8g00781,dz186s22g00287
mal1g00462,.,.,dz186s22g00286
mal1g00463,.,.,.
mal1g00464,.,.,.
mal1g00465,dz186s21g00637,.,dz186s22g00285
mal1g00466,dz186s21g00636,.,dz186s22g00284
mal1g00467,.,dz186s8g00779,dz186s22g00283
mal1g00468,.,.,dz186s22g00295
mal1g00469,.,.,dz186s22g00296
mal1g00470,.,.,.
mal1g00471,.,.,dz186s22g00297
mal1g00472,.,.,dz186s22g00298
mal1g00473,.,.,.
mal1g00474,.,.,dz186s22g00300
mal1g00475,.,.,.
mal1g00476,.,.,.
mal1g00477,.,.,.
mal1g00478,dz186s21g00644,.,dz186s22g00301
mal1g00479,.,dz186s8g00787,dz186s22g00303
mal1g00480,dz186s21g00645,dz186s8g00788,dz186s22g00304
mal1g00481,dz186s21g00646,.,dz186s22g00305
mal1g00482,.,.,dz186s22g00306
mal1g00483,dz186s21g00647,.,dz186s22g00307
mal1g00484,dz186s21g00648,.,.
mal1g00485,.,.,.
mal1g00486,dz186s21g00649,.,.
mal1g00487,dz186s21g00650,.,.
mal1g00488,dz186s21g00651,.,dz186s22g00308
mal1g00489,dz186s21g00655,.,.
mal1g00490,dz186s21g00656,.,.
mal1g00491,dz186s21g00657,dz186s8g00789,dz186s22g00312
mal1g00492,.,.,dz186s22g00313
mal1g00493,dz186s21g00660,.,.
mal1g00494,.,.,dz186s22g00314
mal1g00495,dz186s21g00661,.,dz186s22g00315
mal1g00496,dz186s21g00662,.,dz186s22g00316
mal1g00497,.,.,dz186s22g00317
mal1g00498,dz186s21g00663,dz186s8g00790,dz186s22g00319
mal1g00499,.,dz186s8g00791,dz186s22g00320
mal1g00500,dz186s21g00664,dz186s8g00792,dz186s22g00321
mal1g00501,dz186s21g00665,.,dz186s22g00322
mal1g00502,.,dz186s8g00795,.
mal1g00503,.,dz186s8g00796,dz186s22g00323
mal1g00504,dz186s21g00666,.,.
mal1g00505,dz186s21g00667,.,.
mal1g00506,dz186s21g00669,.,dz186s22g00324
mal1g00507,.,.,dz186s22g00325
mal1g00508,dz186s21g00670,.,dz186s22g00326
mal1g00509,.,dz186s8g00797,.
mal1g00510,.,dz186s8g00798,dz186s22g00327
mal1g00511,.,.,dz186s22g00328
mal1g00512,.,.,dz186s22g00329
mal1g00513,.,.,dz186s22g00332
mal1g00514,dz186s21g00671,dz186s8g00799,dz186s22g00336
mal1g00515,dz186s21g00672,dz186s8g00800,dz186s22g00337
mal1g00516,dz186s21g00673,dz186s8g00801,dz186s22g00338
mal1g00517,.,dz186s8g00802,dz186s22g00339
mal1g00518,dz186s21g00674,.,.
mal1g00519,dz186s21g00675,.,dz186s22g00340
mal1g00520,.,dz186s8g00803,.
mal1g00521,dz186s21g00676,.,dz186s22g00341
mal1g00522,.,.,dz186s22g00342
mal1g00523,.,.,dz186s22g00343
mal1g00524,.,.,dz186s22g00344
mal1g00525,.,.,dz186s22g00345
mal1g00526,dz186s21g00677,.,dz186s22g00346
mal1g00527,.,.,dz186s22g00347
mal1g00528,.,.,.
mal1g00529,.,dz186s8g00804,.
mal1g00530,.,dz186s8g00806,.
mal1g00531,.,.,.
mal1g00532,.,.,dz186s22g00349
mal1g00533,.,.,.
mal1g00534,.,.,dz186s22g00350
mal1g00535,.,.,dz186s22g00352
mal1g00536,.,dz186s8g00807,dz186s22g00353
mal1g00537,.,dz186s8g00808,.
mal1g00538,dz186s21g00678,.,.
mal1g00539,.,.,.
mal1g00540,.,.,.
mal1g00541,dz186s21g00679,dz186s8g00809,dz186s22g00355
mal1g00542,dz186s21g00680,dz186s8g00811,.
mal1g00543,.,.,dz186s22g00357
mal1g00544,.,dz186s8g00812,dz186s22g00358
mal1g00545,.,dz186s8g00813,dz186s22g00359
mal1g00546,.,dz186s8g00814,.
mal1g00547,.,dz186s8g00815,dz186s22g00360
mal1g00548,.,dz186s8g00817,dz186s22g00361
mal1g00549,.,dz186s8g00818,.
mal1g00550,.,dz186s8g00819,.
mal1g00551,.,dz186s8g00820,dz186s22g00362
mal1g00552,dz186s21g00682,.,dz186s22g00363
mal1g00553,.,dz186s8g00821,dz186s22g00364
mal1g00554,dz186s21g00683,dz186s8g00822,.
mal1g00555,dz186s21g00685,dz186s8g00824,dz186s22g00365
mal1g00556,dz186s21g00688,.,dz186s22g00366
mal1g00557,.,.,dz186s22g00367
mal1g00558,dz186s21g00689,dz186s8g00825,dz186s22g00368
mal1g00559,dz186s21g00690,.,dz186s22g00369
mal1g00560,.,dz186s8g00826,dz186s22g00370
mal1g00561,.,dz186s8g00827,.
mal1g00562,.,dz186s8g00828,.
mal1g00563,dz186s21g00691,.,dz186s22g00371
mal1g00564,dz186s21g00692,.,dz186s22g00372
mal1g00565,.,dz186s8g00829,.
mal1g00566,.,dz186s8g00830,dz186s22g00374
mal1g00567,dz186s21g00693,.,dz186s22g00379
mal1g00568,dz186s21g00694,.,dz186s22g00380
mal1g00569,dz186s21g00695,.,.
mal1g00570,.,.,dz186s22g00382
mal1g00571,.,.,.
mal1g00572,.,dz186s8g00831,dz186s22g00384
mal1g00573,.,dz186s8g00833,dz186s22g00392
mal1g00574,.,.,.
mal1g00575,.,dz186s8g00834,dz186s22g00393
mal1g00576,.,.,dz186s22g00396
mal1g00577,.,dz186s8g00835,dz186s22g00397
mal1g00578,.,.,dz186s22g00398
mal1g00579,.,.,.
mal1g00580,dz186s21g00696,.,.
mal1g00581,.,.,.
mal1g00582,.,.,dz186s22g00402
mal1g00583,.,.,dz186s22g00403
mal1g00584,.,.,dz186s22g00404
mal1g00585,.,.,dz186s22g00409
mal1g00586,.,.,dz186s22g00410
mal1g00587,.,.,dz186s22g00411
mal1g00588,.,.,dz186s22g00412
mal1g00589,.,dz186s8g00837,.
mal1g00590,.,.,.
mal1g00591,.,.,.
mal1g00592,.,.,dz186s22g00413
mal1g00593,dz186s21g00697,.,dz186s22g00414
mal1g00594,dz186s21g00698,.,dz186s22g00415
mal1g00595,.,.,.
mal1g00596,.,.,.
mal1g00597,.,.,.
mal1g00598,.,.,.
mal1g00599,.,.,.
mal1g00600,.,.,.
mal1g00601,.,.,dz186s22g00419
mal1g00602,.,.,.
mal1g00603,dz186s21g00699,.,dz186s22g00421
mal1g00604,.,.,.
mal1g00605,.,dz186s8g00838,.
mal1g00606,.,.,.
mal1g00607,.,.,.
mal1g00608,.,.,.
mal1g00609,.,.,.
mal1g00610,.,.,.
mal1g00611,.,.,dz186s22g00422
mal1g00612,.,.,.
mal1g00613,dz186s21g00700,.,.
mal1g00614,.,.,dz186s22g00423
mal1g00615,.,.,.
mal1g00616,.,.,.
mal1g00617,.,dz186s8g00848,dz186s22g00425
mal1g00618,.,.,.
mal1g00619,.,.,.
mal1g00620,.,dz186s8g00849,dz186s22g00426
mal1g00621,.,dz186s8g00857,dz186s22g00427
mal1g00622,.,.,dz186s22g00428
mal1g00623,dz186s21g00701,.,dz186s22g00429
mal1g00624,.,dz186s8g00858,.
mal1g00625,dz186s21g00704,.,dz186s22g00431
mal1g00626,dz186s21g00705,.,dz186s22g00432
mal1g00627,dz186s21g00706,.,dz186s22g00433
mal1g00628,dz186s21g00707,dz186s8g00859,dz186s22g00434
mal1g00629,.,dz186s8g00860,dz186s22g00435
mal1g00630,dz186s21g00708,.,.
mal1g00631,.,dz186s8g00861,dz186s22g00436
mal1g00632,dz186s21g00709,.,.
mal1g00633,.,dz186s8g00862,.
mal1g00634,.,dz186s8g00863,.
mal1g00635,.,.,.
mal1g00636,.,dz186s8g00864,.
mal1g00637,.,,dz186s22g00437
mal1g00638,.,,dz186s22g00438
mal1g00639,dz186s21g00710,dz186s8g00455,dz186s22g00439
mal1g00640,dz186s21g00711,.,dz186s22g00440
mal1g00641,.,.,dz186s22g00441
mal1g00642,.,.,dz186s22g00442
mal1g00643,.,.,dz186s22g00443
mal1g00644,dz186s21g00712,.,.
mal1g00645,.,.,.
mal1g00646,dz186s21g00715,.,.
mal1g00647,dz186s21g00716,.,.
mal1g00648,dz186s21g00717,.,.
mal1g00649,.,dz186s8g00456,.
