cca301s1g00043,cpa1s1g00620,dz186s6g00774,ga198s11g03403,hli2s8g00012,hum1sNW_018397273.1g00053,opy300s25g00677,tc180s4g00387
cca301s1g01023,cpa1s1g01645,dz186s18g00046,ga198s13g01527,hli2s7g00111,hum1sNW_018397262.1g00087,opy300s44g00252,tc180s8g01366
cca301s1g01040,cpa1s3g01619,dz186s29g00567,ga198s3g00768,hli2s6g00799,hum1sNW_018397260.1g00120,opy300s18g00030,tc180s8g01161
cca301s1g01097,cpa1s1g00695,dz186s18g00022,ga198s5g02668,hli2s7g00185,hum1sNW_018397287.1g00052,opy300s40g00983,tc180s8g01484
cca301s1g01116,cpa1s1g01701,dz186s18g00017,ga198s3g00717,hli2s7g00157,hum1sNW_018397287.1g00042,opy300s1g02200,tc180s8g01470
cca301s1g01195,cpa1s1g00496,dz186s27g00658,ga198s2g01482,hli2s7g00219,hum1sNW_018397260.1g00033,opy300s1g02146,tc180s8g01208
cca301s1g01324,cpa1s1g02420,dz186s18g00128,ga198s13g01481,hli2s7g00070,hum1sNW_018397287.1g00010,opy300s44g00483,tc180s8g01439
cca301s1g01330,cpa1s5g01592,dz186s30g00045,ga198s9g00755,hli2s10g00293,hum1sNW_018397262.1g00007,opy300s1g02680,tc180s8g01247
cca301s1g01340,cpa1s1g02436,dz186s18g00107,ga198s5g02531,hli2s7g00082,hum1sNW_018397262.1g00024,opy300s40g00956,tc180s8g01260
cca301s1g01406,cpa1s1g02614,dz186s27g00765,ga198s8g02701,hli2s7g00038,hum1sNW_018397286.1g00040,opy300s30g00439,tc180s8g01133
cca301s1g01410,cpa1s1g02611,dz186s18g00006,ga198s3g01102,hli2s7g00046,hum1sNW_018397286.1g00033,opy300s18g00205,tc180s8g01126
cca301s1g01416,cpa1s2g00056,dz186s17g00011,ga198s5g02607,hli2s17g00013,hum1sNW_018397290.1g00114,opy300s7g00871,tc180s2g00023
cca301s1g01417,cpa1s2g00064,dz186s30g00022,ga198s6g01290,hli2s6g00711,hum1sNW_018397290.1g00120,opy300s1g02179,tc180s2g00018
cca301s1g01419,cpa1s2g00071,dz186s17g00008,ga198s11g03581,hli2s17g00010,hum1sNW_018397290.1g00123,opy300s12g00707,tc180s2g00015
cca301s1g01439,cpa1s2g00392,dz186s22g00848,ga198s1g01078,hli2s16g01622,hum1sNW_018397282.1g00057,opy300s10g01456,tc180s7g01234
cca301s1g01446,cpa1s2g01745,dz186s22g00858,ga198s8g02723,hli2s15g01080,hum1sNW_018397282.1g00062,opy300s43g00008,tc180s7g01237
cca301s1g01449,cpa1s2g00271,dz186s22g00855,ga198s5g03519,hli2s15g01083,hum1sNW_018397282.1g00069,opy300s11g00625,tc180s7g01239
cca301s1g01488,cpa1s6g00772,dz186s17g00729,ga198s12g02764,hli2s17g00651,hum1sNW_018397254.1g01653,opy300s10g00532,Tc02v2_t011220.2
cca301s1g01536,cpa1s1g00900,dz186s16g00233,ga198s7g02513,hli2s4g00303,hum1sNW_018397272.1g00009,opy300s17g00828,tc180s4g00508
cca301s1g01560,cpa1s3g02299,dz186s9g01084,ga198s4g01569,hli2s4g00325,hum1sNW_018397272.1g00028,opy300s32g00932,tc180s4g00532
cca301s1g01686,cpa1s1g00804,dz186s16g00318,ga198s4g01621,hli2s4g00410,hum1sNW_018397272.1g00147,opy300s32g00796,tc180s4g00638
cca301s1g01702,cpa1s1g00796,dz186s9g00974,ga198s11g03321,hli2s4g00422,hum1sNW_018397272.1g00166,opy300s25g00361,tc180s4g00649
cca301s1g01705,cpa1s1g00791,dz186s9g00971,ga198s9g00162,hli2s4g00424,hum1sNW_018397272.1g00170,opy300s34g00345,tc180s4g00653
cca301s1g01711,cpa1s1g00785,dz186s16g00332,ga198s11g03317,hli2s4g00429,hum1sNW_018397272.1g00175,opy300s25g00369,tc180s4g00658
cca301s1g01981,cpa1s1g00179,dz186s13g01118,ga198s7g00896,hli2s14g00266,hum1sNW_018397269.1g00096,opy300s14g00003,tc180s4g00819
cca301s1g01997,cpa1s1g01167,dz186s7g00394,ga198s8g02677,hli2s11g01506,hum1sNW_018397259.1g00418,opy300s30g00400,tc180s5g01356
cca301s1g02073,cpa1s4g02414,dz186s8g00459,ga198s1g00644,hli2s19g00588,hum1sNW_018397262.1g00520,opy300s10g01783,tc180s7g00662
cca301s1g02134,cpa1s5g02087,dz186s22g00759,ga198s1g01023,hli2s15g00971,hum1sNW_018397262.1g00189,opy300s10g01366,tc180s7g01067
cca301s1g02231,cpa1s6g00786,dz186s17g00714,ga198s13g00524,hli2s17g00636,hum1sNW_018397254.1g01627,opy300s7g01553,tc180s2g00970
cca301s1g02281,cpa1s6g00059,dz186s17g00668,ga198s3g02367,hli2s17g00590,hum1sNW_018397254.1g01557,opy300s35g00704,tc180s2g00899
cca301s1g02303,cpa1s6g00317,dz186s17g00647,ga198s1g00114,hli2s17g00571,hum1sNW_018397254.1g01532,opy300s24g00210,tc180s2g00877
cca301s1g02332,cpa1s6g00272,dz186s20g00588,ga198s3g02407,hli2s17g00540,hum1sNW_018397254.1g01491,opy300s12g01240,tc180s2g00837
cca301s1g02382,cpa1s6g00257,dz186s12g00927,ga198s1g00091,hli2s10g00896,hum1sNW_018397254.1g01432,opy300s24g00178,tc180s2g00780
cca301s1g02385,cpa1s6g00261,dz186s12g00929,ga198s3g02437,hli2s17g00500,hum1sNW_018397254.1g01430,opy300s12g01200,tc180s2g00777
cca301s1g02386,cpa1s5g02005,dz186s17g00573,ga198s3g02438,hli2s10g00897,hum1sNW_018397254.1g01428,opy300s12g01199,tc180s2g00775
cca301s1g02430,cpa1s6g00151,dz186s20g00652,ga198s13g00373,hli2s10g00928,hum1sNW_018397254.1g01379,opy300s7g01403,tc180s2g00719
cca301s1g02446,cpa1s6g00130,dz186s17g00510,ga198s3g02489,hli2s17g00448,hum1sNW_018397261.1g00717,opy300s12g01137,tc180s2g00699
cca301s1g02473,cpa1s2g00443,dz186s17g00473,ga198s13g00332,hli2s10g00978,hum1sNW_018397261.1g00777,opy300s7g01352,tc180s2g00652
cca301s1g02474,cpa1s2g00414,dz186s17g00472,ga198s13g00331,hli2s17g00409,hum1sNW_018397261.1g00778,opy300s7g01351,tc180s2g00651
cca301s1g02480,cpa1s2g00134,dz186s12g00999,ga198s3g02511,hli2s10g00981,hum1sNW_018397254.1g01488,opy300s12g01101,tc180s2g00834
cca301s1g02563,cpa1s6g00378,dz186s17g00398,ga198stig00016096g00043,hli2s10g01043,hum1sNW_018397261.1g00886,opy300s10g00298,tc180s2g00554
cca301s1g02618,cpa1s6g00443,dz186s17g00350,ga198stig00016096g00030,hli2s10g01072,hum1sNW_018397261.1g00960,opy300s10g00266,tc180s2g00483
cca301s1g02666,cpa1s6g00506,dz186s12g01125,ga198s1g00026,hli2s17g00271,hum1sNW_018397261.1g01030,opy300s24g00070,tc180s2g00416
cca301s1g02673,cpa1s6g00891,dz186s17g00293,ga198s2g01123,hli2s10g01114,hum1sNW_018397261.1g01040,opy300s7g01166,tc180s2g00409
cca301s1g02716,cpa1s4g01845,dz186s22g00664,ga198s13g01895,hli2s16g01412,hum1sNW_018397262.1g00313,opy300s38g00350,tc180s7g00944
cca301s1g02734,cpa1s4g01879,dz186s22g00628,ga198s1g00482,hli2s19g00790,hum1sNW_018397262.1g00352,opy300s38g00334,tc180s7g00893
cca301s1g02766,cpa1s4g01921,dz186s22g00559,ga198s8g02760,hli2s15g00895,hum1sNW_018397262.1g00408,opy300s43g00054,tc180s7g00807
cca301s1g02829,cpa1s4g02490,dz186s22g00468,ga198s1g00629,hli2s19g00616,hum1sNW_018397262.1g00492,opy300s10g01748,tc180s7g00693
cca301s1g02834,cpa1s2g00032,dz186s17g00028,ga198s4g00065,hli2s17g00025,hum1sNW_018397290.1g00085,opy300s35g00993,tc180s2g00045
cca301s1g02990,cpa1s6g01011,dz186s17g00222,ga198s4g00223,hli2s17g00192,hum1sNW_018397261.1g01144,opy300s35g00886,tc180s2g00304
cca301s1g03051,cpa1s1g00030,dz186s5g01511,ga198s7g00849,hli2s9g00789,hum1sNW_018397269.1g00243,opy300s14g00109,tc180s4g00960
cca301s1g03082,cpa1s1g00068,dz186s5g01526,ga198s12g02567,hli2s14g00111,hum1sNW_018397269.1g00201,opy300s12g03132,tc180s4g00922
cca301s1g03092,cpa1s1g00079,dz186s5g01541,ga198s7g01986,hli2s14g00119,hum1sNW_018397269.1g00188,opy300s12g03138,tc180s4g00910
cca301s1g03108,cpa1s1g00107,dz186s5g01567,ga198s11g02253,hli2s9g00014,hum1sNW_018397269.1g00167,opy300s12g03171,tc180s4g00890
cca301s1g03180,cpa1s4g02374,dz186s22g00342,ga198s1g00728,hli2s1g00275,hum1sNW_018397262.1g00650,opy300s10g01888,tc180s7g00527
cca301s1g03192,cpa1s4g02337,dz186s22g00335,ga198s1g00738,hli2s19g00429,hum1sNW_018397262.1g00663,opy300s10g01899,tc180s7g00512
cca301s1g03196,cpa1s4g02342,dz186s8g00795,ga198s1g00742,hli2s19g00425,hum1sNW_018397262.1g00668,opy300s10g01903,tc180s7g00507
cca301s1g03219,cpa1s4g01954,dz186s21g00632,ga198s1g00787,hli2s1g00215,hum1sNW_018397262.1g00736,opy300s10g01943,tc180s7g00443
cca301s1g03229,cpa1s4g01965,dz186s22g00263,ga198s1g00795,hli2s12g00005,hum1sNW_018397262.1g00744,opy300s10g01951,tc180s7g00433
cca301s1g03235,cpa1s4g01975,dz186s8g00759,ga198s13g01825,hli2s1g00200,hum1sNW_018397262.1g00761,opy300s38g00167,tc180s7g00415
cca301s1g03248,cpa1s4g01987,dz186s22g00244,ga198s1g00820,hli2s17g01562,hum1sNW_018397262.1g00781,opy300s10g01977,tc180s7g00380
cca301s1g03270,cpa1s4g02014,dz186s22g00214,ga198s5g04283,hli2s19g00238,hum1sNW_018397262.1g00819,opy300s11g00156,tc180s7g00339
cca301s1g03326,cpa1s4g02103,dz186s22g00153,ga198s1g00902,hli2s19g00175,hum1sNW_018397262.1g00909,opy300s10g02063,tc180s7g00228
cca301s1g03389,cpa1s4g02235,dz186s8g00620,ga198s1g00977,hli2s19g00071,hum1sNW_018397262.1g01010,opy300s10g02147,tc180s7g00110
cca301s1g03405,cpa1s4g02212,dz186s21g00504,ga198s2g01771,hli2s1g00073,hum1sNW_018397262.1g01045,opy300s33g00014,tc180s7g00077
cca301s1g03424,cpa1s4g02266,dz186s8g00593,ga198s13g01631,hli2s19g00025,hum1sNW_018397262.1g01091,opy300s38g00019,tc180s7g00036
cca301s2g00051,cpa1s4g00587,dz186s9g00703,ga198s2g00048,hli2s4g01422,hum1sNW_018397255.1g00072,opy300s32g00059,tc180s1g00085
cca301s2g00099,cpa1s4g00529,dz186s9g00661,ga198s11g03633,hli2s4g01385,hum1sNW_018397255.1g00117,opy300s25g00032,tc180s1g00139
cca301s2g00140,cpa1s6g01645,dz186s6g01179,ga198s8g00413,hli2s8g00677,hum1sNW_018397255.1g00926,opy300s34g00631,tc180s1g00924
cca301s2g00163,cpa1s6g01625,dz186s6g01196,ga198s2g00459,hli2s8g00697,hum1sNW_018397255.1g00901,opy300s32g00548,tc180s1g00901
cca301s2g00164,cpa1s9g01882,dz186s9g00084,ga198s12g02021,hli2s4g00817,hum1sNW_018397255.1g00899,opy300s17g00505,tc180s1g00899
cca301s2g00167,cpa1s6g01622,dz186s6g01199,ga198s10g02168,hli2s4g00821,hum1sNW_018397255.1g00896,opy300s17g00504,tc180s1g00896
cca301s2g00175,cpa1s6g01606,dz186s9g00098,ga198s11g03510,hli2s4g00838,hum1sNW_018397255.1g00887,opy300s25g00290,tc180s1g00885
cca301s2g00183,cpa1s6g01596,dz186s9g00103,ga198s2g00471,hli2s4g00844,hum1sNW_018397255.1g00880,opy300s32g00528,tc180s1g00878
cca301s2g00187,cpa1s6g01588,dz186s9g00109,ga198s2g00439,hli2s8g00725,hum1sNW_018397255.1g00873,opy300s32g00523,tc180s1g00872
cca301s2g00252,cpa1s6g01055,dz186s9g00153,ga198s2g00358,hli2s8g00769,hum1sNW_018397255.1g00811,opy300s32g00431,tc180s1g00812
cca301s2g00281,cpa1s6g01094,dz186s9g00184,ga198s11g03529,hli2s4g00933,hum1sNW_018397255.1g00780,opy300s25g00252,tc180s1g00782
cca301s2g00311,cpa1s4g00117,dz186s9g00215,ga198s11g01675,hli2s4g00967,hum1sNW_018397255.1g00748,opy300s34g00789,tc180s1g00743
cca301s2g00332,cpa1s3g01863,dz186s15g00019,ga198s8g01792,hli2s13g01520,hum1sNW_018397254.1g00102,opy300s5g00054,tc180s3g02280
cca301s2g00449,cpa1s4g00281,dz186s9g00333,ga198s11g01809,hli2s4g01090,hum1sNW_018397255.1g00579,opy300s34g00919,tc180s1g00591
cca301s2g00452,cpa1s4g00287,dz186s16g00764,ga198s12g02133,hli2s4g01093,hum1sNW_018397255.1g00574,opy300s17g00300,tc180s1g00586
cca301s2g00531,cpa1s4g00071,dz186s9g00405,ga198s2g00238,hli2s4g01146,hum1sNW_018397255.1g00497,opy300s32g00295,tc180s1g00501
cca301s2g00584,cpa1s4g00013,dz186s16g00845,ga198s11g03593,hli2s4g01198,hum1sNW_018397255.1g00423,opy300s25g00131,tc180s1g00431
cca301s2g00721,cpa1s4g00418,dz186s6g01532,ga198s10g02019,hli2s4g01315,hum1sNW_018397255.1g00246,opy300s20g00629,tc180s1g00255
cca301s2g00745,cpa1s7g01675,dz186s6g01551,ga198s2g00117,hli2s8g01167,hum1sNW_018397255.1g00206,opy300s32g00147,tc180s1g00213
cca301s2g00747,cpa1s4g00460,dz186s6g01555,ga198s10g02006,hli2s8g01170,hum1sNW_018397255.1g00201,opy300s20g00646,tc180s1g00209
cca301s2g00752,cpa1s4g00468,dz186s16g00971,ga198s2g00113,hli2s8g01175,hum1sNW_018397255.1g00196,opy300s32g00142,tc180s1g00203
cca301s2g00783,cpa1s4g00502,dz186s16g00996,ga198s11g03639,hli2s4g01364,hum1sNW_018397255.1g00155,opy300s25g00045,Tc01v2_t001720.2
cca301s2g00926,cpa1s3g01732,dz186s6g01102,ga198s4g01769,hli2s8g00604,hum1sNW_018397255.1g01090,opy300s32g00671,tc180s1g01083
cca301s2g01026,cpa1s7g00980,dz186s16g00411,ga198s10g01868,hli2s8g00479,hum1sNW_018397255.1g01205,opy300s20g00234,tc180s1g01184
cca301s2g01048,cpa1s3g02330,dz186s9g00881,ga198s11g03443,hli2s8g00443,hum1sNW_018397255.1g01240,opy300s25g00436,tc180s1g01223
cca301s2g01058,cpa1s3g02333,XP_022750779.1,ga198s10g01869,hli2s8g00448,hum1sNW_018397255.1g01234,opy300s17g00957,tc180s1g01216
cca301s2g01089,cpa1s3g02322,dz186s9g00894,ga198s10g00903,hli2s4g00515,hum1sNW_018397255.1g01258,opy300s32g00889,tc180s1g01238
cca301s2g01123,cpa1s3g01612,dz186s9g00916,ga198s12g02239,hli2s8g00408,hum1sNW_018397255.1g01288,opy300s17g00854,tc180s1g01268
cca301s2g01178,cpa1s3g02374,dz186s5g01384,ga198s11g02372,hli2s14g00359,hum1sNW_018397255.1g01346,opy300s12g02943,tc180s1g01326
cca301s2g01196,cpa1s8g00808,dz186s5g01368,ga198s8g00596,hli2s9g00126,hum1sNW_018397255.1g01364,opy300s31g00042,tc180s1g01346
cca301s2g01208,cpa1s3g01104,dz186s13g01005,ga198s7g01841,hli2s14g00380,hum1sNW_018397255.1g01372,opy300s13g00955,tc180s1g01356
cca301s2g01276,cpa1s3g01171,dz186s5g01314,ga198s7g02165,hli2s9g00164,hum1sNW_018397255.1g01438,opy300s16g00242,tc180s1g01410
cca301s2g01289,cpa1s3g01183,dz186s5g01308,ga198s11g02417,hli2s14g00434,hum1sNW_018397255.1g01467,opy300s16g00248,tc180s1g01433
cca301s2g01347,cpa1s3g01211,dz186s5g01284,ga198s7g01960,hli2s9g00184,hum1sNW_018397255.1g01475,opy300s13g00903,tc180s1g01443
cca301s2g01348,cpa1s3g01212,dz186s30g00410,ga198s8g00584,hli2s9g00185,hum1sNW_018397255.1g01476,opy300s31g00055,tc180s1g01444
cca301s2g01391,cpa1s3g01251,dz186s5g01250,ga198s11g02454,hli2s9g00207,hum1sNW_018397255.1g01520,opy300s12g02756,tc180s1g01477
cca301s2g01455,cpa1s3g01327,dz186s5g01210,ga198s11g02489,hli2s14g00524,hum1sNW_018397255.1g01573,opy300s12g02809,tc180s1g01537
cca301s2g01498,cpa1s3g01348,dz186s13g00879,ga198s11g02513,hli2s14g00552,hum1sNW_018397255.1g01605,opy300s12g02833,tc180s1g01566
cca301s2g01508,cpa1s3g01357,dz186s13g00874,ga198s11g02516,hli2s9g00254,hum1sNW_018397255.1g01614,opy300s31g00073,tc180s1g01572
cca301s2g01538,cpa1s3g01382,dz186s5g01160,ga198s7g01898,hli2s9g00275,hum1sNW_018397255.1g01636,opy300s13g00804,tc180s1g01597
cca301s2g01547,cpa1s3g01388,dz186s5g01157,ga198s7g01910,hli2s14g00578,hum1sNW_018397255.1g01643,opy300s13g00798,tc180s1g01604
cca301s2g01643,cpa1s3g01460,dz186s5g01097,ga198s11g02572,hli2s9g00331,hum1sNW_018397255.1g01728,opy300s12g02649,tc180s1g01681
cca301s2g01655,cpa1s3g01467,dz186s5g01093,ga198s8g00556,hli2s9g00334,hum1sNW_018397255.1g01735,opy300s31g00091,tc180s1g01687
cca301s2g01688,cpa1s3g01490,dz186s30g00297,ga198s7g01759,hli2s9g00352,hum1sNW_018397255.1g01754,opy300s13g00737,tc180s1g01706
cca301s2g02103,cpa1s5g00406,dz186s26g00488,ga198s3g01013,hli2s6g00178,hum1sNW_018397264.1g00201,opy300s42g00414,tc180s4g01184
cca301s2g02153,cpa1s5g00373,dz186s26g00542,ga198s9g02389,hli2s6g00209,hum1sNW_018397264.1g00258,opy300s29g00785,tc180s4g01228
cca301s2g02431,cpa1s3g00852,dz186s19g00391,ga198s10g01461,hli2s6g00472,hum1sNW_018397264.1g00505,opy300s29g00594,tc180s4g01453
cca301s2g02489,cpa1s3g00817,dz186s8g00909,ga198s10g01425,hli2s18g00836,hum1sNW_018397264.1g00551,opy300s29g00557,tc180s4g01505
cca301s2g02491,cpa1s3g00814,dz186s26g00796,ga198s10g01423,hli2s6g00524,hum1sNW_018397264.1g00553,opy300s29g00555,tc180s4g01507
cca301s3g00044,cpa1s2g01015,dz186s23g00414,ga198s10g00256,hli2s15g01501,hum1sNW_018397268.1g00288,opy300s21g00189,tc180s10g00295
cca301s3g00093,cpa1s2g00971,dz186s23g00450,ga198s6g02042,hli2s16g01020,hum1sNW_018397268.1g00291,opy300s30g00817,tc180s10g00298
cca301s3g00096,cpa1s2g00967,dz186s23g00453,ga198s5g03276,hli2s16g01017,hum1sNW_018397268.1g00294,opy300s22g01162,tc180s10g00301
cca301s3g00201,cpa1s7g02226,dz186s19g00994,ga198s3g00685,hli2s10g00004,hum1sNW_018397264.1g01337,opy300s39g00539,tc180s4g02284
cca301s3g00464,cpa1s2g01463,dz186s7g00848,ga198s5g03157,hli2s15g01236,hum1sNW_018397268.1g00600,opy300s22g01309,tc180s10g00605
cca301s3g00687,cpa1s3g01796,dz186s2g00871,ga198s8g00862,hli2s16g00012,hum1sNW_018397263.1g00018,opy300s1g03207,tc180s5g00019
cca301s3g00880,cpa1s9g00924,dz186s3g01347,ga198s12g01032,hli2s12g00386,hum1sNW_018397261.1g00115,opy300s6g00269,tc180s3g00610
cca301s3g01279,cpa1s9g01577,dz186s3g01729,ga198s11g03654,hli2s12g00017,hum1sNW_018397265.1g00043,opy300s26g00829,tc180s3g00511
cca301s3g01338,cpa1s9g00212,XP_022723652.1,ga198s11g03987,hli2s12g00948,hum1sNW_018397254.1g01104,opy300s26g00277,tc180s3g01373
cca301s3g01504,cpa1s9g00769,dz186s15g01025,ga198s1g02126,hli2s12g00206,hum1sNW_018397261.1g00367,opy300s1g00166,tc180s3g00834
cca301s3g01509,cpa1s9g00761,XP_022729848.1,ga198s1g02171,hli2s12g00202,hum1sNW_018397261.1g00374,opy300s1g00160,tc180s3g00841
cca301s3g01532,cpa1s9g00730,dz186s3g01554,ga198s11g03700,hli2s13g00142,hum1sNW_018397261.1g00403,opy300s26g00773,tc180s3g00867
cca301s3g01568,cpa1s9g01070,dz186s14g01086,ga198s7g00584,hli2s12g00168,hum1sNW_018397261.1g00427,opy300s5g01526,tc180s3g00890
cca301s3g01635,cpa1s9g00228,dz186s14g00556,ga198s11g03981,hli2s12g00957,hum1sNW_018397254.1g01083,opy300s26g00271,tc180s3g01390
cca301s3g01675,cpa1s9g00268,dz186s15g00471,ga198s8g01211,hli2s13g00969,hum1sNW_018397254.1g01030,opy300s5g00768,tc180s3g01435
cca301s3g01744,cpa1s3g01990,dz186s3g00107,ga198s9g02235,hli2s13g01494,hum1sNW_018397254.1g00168,opy300s15g00781,tc180s3g02228
cca301s3g01782,cpa1s4g01652,dz186s3g00138,ga198s1g02737,hli2s12g01527,hum1sNW_018397254.1g00826,opy300s1g01293,tc180s3g01616
cca301s3g01813,cpa1s3g01937,dz186s3g00162,ga198s8g01862,hli2s13g01457,hum1sNW_018397254.1g00798,opy300s5g00143,tc180s3g01641
cca301s3g01834,cpa1s4g00708,dz186s14g00114,ga198s12g00688,hli2s12g01496,hum1sNW_018397254.1g00779,opy300s6g01444,tc180s3g01657
cca301s3g01926,cpa1s4g00960,dz186s3g00235,ga198s12g02415,hli2s13g01406,hum1sNW_018397254.1g00704,opy300s1g01221,tc180s3g01725
cca301s3g02014,cpa1s4g00848,dz186s3g00309,ga198s12g00591,hli2s13g01346,hum1sNW_018397254.1g00610,opy300s5g00300,tc180s3g01812
cca301s3g02061,cpa1s4g00768,dz186s3g00374,ga198s1g02664,hli2s12g01331,hum1sNW_018397254.1g00525,opy300s5g00349,tc180s3g01891
cca301s3g02077,cpa1s4g00749,dz186s15g00214,ga198s9g02169,hli2s13g01287,hum1sNW_018397254.1g00503,opy300s15g00693,tc180s3g01910
cca301s3g02198,cpa1s4g01061,dz186s3g00495,ga198s12g00484,hli2s12g01228,hum1sNW_018397254.1g00354,opy300s6g01189,tc180s3g02052
cca301s3g02214,cpa1s4g01079,dz186s3g00512,ga198s1g01696,hli2s13g01176,hum1sNW_018397254.1g00343,opy300s1g00997,tc180s3g02071
cca301s3g02226,cpa1s4g01117,dz186s3g00534,ga198s12g00467,hli2s12g01203,hum1sNW_018397254.1g00322,opy300s6g01165,tc180s3g02091
cca301s3g02321,cpa1s4g01380,dz186s3g00624,ga198s1g01803,hli2s13g01064,hum1sNW_018397254.1g00859,opy300s1g00882,tc180s3g01580
cca301s3g02362,cpa1s6g00531,dz186s14g00463,ga198s11g03953,hli2s12g01073,hum1sNW_018397254.1g00909,opy300s26g00219,tc180s3g01533
cca301s3g02485,cpa1s9g00023,dz186s3g01027,ga198s9g00543,hli2s13g00779,hum1sNW_018397254.1g01317,opy300s1g00643,tc180s3g01183
cca301s3g02592,cpa1s9g01573,dz186s3g01689,ga198s1g02065,hli2s12g00053,hum1sNW_018397261.1g00614,opy300s12g00774,tc180s3g01057
cca301s3g02629,cpa1s9g00877,dz186s14g01140,ga198s12g00839,hli2s4g00361,hum1sNW_018397261.1g00577,opy300s1g00058,tc180s3g01021
cca301s3g02650,cpa1s9g00852,dz186s15g01113,ga198s9g02830,hli2s13g00049,hum1sNW_018397261.1g00550,opy300s15g00030,tc180s3g00991
cca301s4g00172,cpa1s1g01511,dz186s2g01728,ga198s5g01958,hli2s7g00983,hum1sNW_018397260.1g00935,opy300s40g00119,tc180s8g00360
cca301s4g00368,cpa1s1g01956,dz186s27g00217,ga198s5g02118,hli2s11g01406,hum1sNW_018397260.1g01227,opy300s40g00334,tc180s8g00101
